ProcessorNumber,url,ProductCollection,CodeName,VerticalSegment,Status,LaunchDate,Lithography,TotalCores,TotalThreads,MaxTurboFrequency,Cache,BusSpeed,EmbeddedOptionsAvailable,Datasheet,MaxMemorySizedependentonmemorytype,MemoryTypes,MaxofMemoryChannels,ECCMemorySupported,ProcessorGraphics,GraphicsMaxDynamicFrequency,MaxResolutionHDMI,MaxResolutionDP,MaxResolutioneDPIntegratedFlatPanel,DirectXSupport,OpenGLSupport,IntelQuickSyncVideo,ofDisplaysSupported,DeviceID,PCIExpressRevision,PCIExpressConfigurations,MaxofPCIExpressLanes,SocketsSupported,MaxCPUConfiguration,TJUNCTION,PackageSize,IntelTurboBoostTechnology,IntelHyperThreadingTechnology,Intel64,InstructionSet,InstructionSetExtensions,IdleStates,EnhancedIntelSpeedStepTechnology,ThermalMonitoringTechnologies,IntelvProPlatformEligibility,IntelAESNewInstructions,SecureKey,IntelSoftwareGuardExtensionsIntelSGX,IntelTrustedExecutionTechnology,ExecuteDisableBit,IntelOSGuard,IntelStableITPlatformProgramSIPP,IntelVirtualizationTechnologyVTx,IntelVirtualizationTechnologyforDirectedIOVTd,IntelVTxwithExtendedPageTablesEPT,RecommendedCustomerPrice,IntelBootGuard
i7-1065G7,https://ark.intel.com/content/www/us/en/ark/products/196597/intel-core-i7-1065g7-processor-8m-cache-up-to-3-90-ghz.html,10th Generation Intel® Core™ i7 Processors,Products formerly Ice Lake,Mobile,Launched,Q3'19,10 nm,4,8,3.90 GHz,8 MB Intel® Smart Cache,4 GT/s,No,View now,64 GB,"DDR4-3200, LPDDR4-3733",2,No,Intel® Iris® Plus Graphics,1.10 GHz,4096 x 2304@60Hz,5120 x 3200@60Hz,5120 x 3200@60Hz,12,4.6,Yes,3,0x8A52,3.0,,,FCBGA1526,1,100°C,50mm x 25mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$426.00,Yes
i9-10900F,https://ark.intel.com/content/www/us/en/ark/products/199329/intel-core-i9-10900f-processor-20m-cache-up-to-5-20-ghz.html,10th Generation Intel® Core™ i9 Processors,Products formerly Comet Lake,Desktop,Launched,Q2'20,14 nm,10,20,5.20 GHz,20 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2933,2,No,,,,,,,,,,,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1200,1,100°C,37.5mm x 37.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$422.00 - $432.00,Yes
i5-8400B,https://ark.intel.com/products/134888/intel-core-i5-8400b-processor-9m-cache-up-to-4-00-ghz.html,8th Generation Intel® Core™ i5 Processors,Products formerly Coffee Lake,Mobile,Discontinued,Q2'18,14 nm,6,6,4.00 GHz,9 MB Intel® Smart Cache,8 GT/s,No,View now,64 GB,DDR4-2666,2,No,Intel® UHD Graphics 630,1.05 GHz,4096x2304@30Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x3E9B,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCBGA1440,1,100°C,42mm x 28mm,2.0,No,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,,No
i7-1185G7,https://ark.intel.com/content/www/us/en/ark/products/208664/intel-core-i71185g7-processor-12m-cache-up-to-4-80-ghz-with-ipu.html,11th Generation Intel® Core™ i7 Processors,Products formerly Tiger Lake,Mobile,Launched,Q3'20,10 nm SuperFin,4,8,4.80 GHz,12 MB Intel® Smart Cache,4 GT/s,No,View now,64 GB,"DDR4-3200, LPDDR4x-4267",2,No,Intel® Iris® Xe Graphics,1.35 GHz,4096x2304@60Hz,7680x4320@60Hz,4096x2304@60Hz,12.1,4.6,Yes,4,0x9A49,,,,FCBGA1449,1,100°C,45.5x25,2.0,Yes,,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,,Yes,Yes,Yes,,No,Yes,,Yes,Yes,Yes,Yes,Yes,$426.00,Yes
i3-10300T,https://ark.intel.com/content/www/us/en/ark/products/199282/intel-core-i3-10300t-processor-8m-cache-up-to-3-90-ghz.html,10th Generation Intel® Core™ i3 Processors,Products formerly Comet Lake,Desktop,Launched,Q2'20,14 nm,4,8,3.90 GHz,8 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2666,2,No,Intel® UHD Graphics 630,1.10 GHz,4096 x 2160@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x9BC8,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1200,1,100°C,37.5mm x 37.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$143.00,Yes
i7-11700K,https://ark.intel.com/content/www/us/en/ark/products/212047/intel-core-i7-11700k-processor-16m-cache-up-to-5-00-ghz.html,11th Generation Intel® Core™ i7 Processors,Products formerly Rocket Lake,Desktop,Launched,Q1'21,14 nm,8,16,5.00 GHz,16 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-3200,2,No,Intel® UHD Graphics 750,1.30 GHz,4096x2160@60Hz,5120 x 3200 @60Hz,5120 x 3200 @60Hz,12.1,4.5,Yes,3,0x4C8A,4.0,"Up to 1x16+1x4, 2x8+1x4, 1x8+3x4",20,FCLGA1200,1,100°C,37.5 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$399.00 - $409.00,Yes
i7-7700HQ,https://ark.intel.com/products/97185/intel-core-i7-7700hq-processor-6m-cache-up-to-3-80-ghz.html,7th Generation Intel® Core™ i7 Processors,Products formerly Kaby Lake,Mobile,Launched,Q1'17,14 nm,4,8,3.80 GHz,6 MB,8 GT/s,No,View now,64 GB,"DDR4-2400, LPDDR3-2133, DDR3L-1600",2,No,Intel® HD Graphics 630,1.10 GHz,4096x2304@30Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x591B,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCBGA1440,1,100°C,42mm x 28mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,,
i7-7600U,https://ark.intel.com/products/97466/intel-core-i7-7600u-processor-4m-cache-up-to-3-90-ghz.html,7th Generation Intel® Core™ i7 Processors,Products formerly Kaby Lake,Mobile,Launched,Q1'17,14 nm,2,4,3.90 GHz,4 MB Intel® Smart Cache,4 GT/s,Yes,View now,32 GB,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,No,Intel® HD Graphics 620,1.15 GHz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x5916,3.0,"1x4, 2x2, 1x2+2x1 and 4x1",12,FCBGA1356,1,100°C,42mm X 24mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$393.00,Yes
i7-11370H,https://ark.intel.com/content/www/us/en/ark/products/196655/intel-core-i711370h-processor-12m-cache-up-to-4-80-ghz-with-ipu.html,11th Generation Intel® Core™ i7 Processors,Products formerly Tiger Lake,Mobile,Launched,Q1'21,10 nm SuperFin,4,8,4.80 GHz,12 MB Intel® Smart Cache,4 GT/s,No,View now,64 GB,"DDR4-3200, LPDDR4x-4267",2,No,Intel® Iris® Xe Graphics,1.35 GHz,4096x2304@60Hz,7680x4320@60Hz,4096x2304@60Hz,12.1,4.6,Yes,4,0x9A49,,,,FCBGA1449,1,100°C,45.5mm x 25mm,2.0,Yes,,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,,Yes,No,Yes,,No,No,,Yes,No,Yes,Yes,Yes,$426.00,Yes
i3-1115G4E,https://ark.intel.com/content/www/us/en/ark/products/208079/intel-core-i31115g4e-processor-6m-cache-up-to-3-90-ghz.html,11th Generation Intel® Core™ i3 Processors,Products formerly Tiger Lake,Embedded,Launched,Q3'20,10 nm SuperFin,2,4,3.90 GHz,6 MB Intel® Smart Cache,4 GT/s,Yes,,64 GB,"DDR4-3200, LPDDR4x-3733",2,No,Intel® UHD Graphics for 11th Gen Intel® Processors,1.25 GHz,4096x2304@60Hz,7680x4320@60Hz,4096x2304@60Hz,12.1,4.6,Yes,4,0x9A78,,,,FCBGA1449,1,100C,46.5x25,2.0,Yes,,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,,Yes,No,Yes,,No,No,,Yes,,Yes,Yes,Yes,$285.00,Yes
i5-9600T,https://ark.intel.com/content/www/us/en/ark/products/191051/intel-core-i5-9600t-processor-9m-cache-up-to-3-90-ghz.html,9th Generation Intel® Core™ i5 Processors,Products formerly Coffee Lake,Desktop,Launched,Q2'19,14 nm,6,6,3.90 GHz,9 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2666,2,No,Intel® UHD Graphics 630,1.15 GHz,4096 x 2304@24Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x3E92,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,100°C,37.5mm x 37.5mm,2.0,No,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$213.00,Yes
i9-10850K,https://ark.intel.com/content/www/us/en/ark/products/205904/intel-core-i9-10850k-processor-20m-cache-up-to-5-20-ghz.html,10th Generation Intel® Core™ i9 Processors,Products formerly Comet Lake,Desktop,Launched,Q3'20,14 nm,10,20,5.20 GHz,20 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2933,2,No,Intel® UHD Graphics 630,1.20 GHz,4096 x 2160@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x9BC5,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1200,1,100°C,37.5mm x 37.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$453.00 - $464.00,Yes
i3-12100,https://ark.intel.com/content/www/us/en/ark/products/134584/intel-core-i312100-processor-12m-cache-up-to-4-30-ghz.html,12th Generation Intel® Core™ i3 Processors,Products formerly Alder Lake,Desktop,Launched,Q1'22,Intel 7,4,8,4.30 GHz,12 MB Intel® Smart Cache,,Yes,View now,128 GB,Up to DDR5 4800 MT/s,2,,Intel® UHD Graphics 730,1.40 GHz,4096 x 2160 @ 60Hz,7680 x 4320 @ 60Hz,5120 x 3200 @ 120Hz,12,4.5,Yes,4,0x4692,5.0 and 4.0,"Up to 1x16+4, 2x8+4",20,FCLGA1700,1,100°C,45.0 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,,Yes,Yes,Yes,$122.00 - $129.00,Yes
i3-8100H,https://ark.intel.com/products/149160/intel-core-i3-8100h-processor-6m-cache-3-00-ghz.html,8th Generation Intel® Core™ i3 Processors,Products formerly Coffee Lake,Mobile,Launched,Q3'18,14 nm,4,4,,6 MB Intel® Smart Cache,8 GT/s,Yes,View now,64 GB,DDR4-2666,2,Yes,Intel® UHD Graphics 630,1.00 GHz,4096x2304@30Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,,3.0,"Up to 1x16,2x8,1x8+2x4",16,FCBGA1440,1,100°C,42mm x 28mm,No,No,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$225.00,Yes
i5-9400F,https://ark.intel.com/products/190883/intel-core-i5-9400f-processor-9m-cache-up-to-4-10-ghz.html,9th Generation Intel® Core™ i5 Processors,Products formerly Coffee Lake,Desktop,Launched,Q1'19,14 nm,6,6,4.10 GHz,9 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2666,2,No,,,,,,,,,,,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,100°C,37.5mm x 37.5mm,2.0,No,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$157.00,Yes
M3-7Y32,https://ark.intel.com/products/97538/intel-core-m3-7y32-processor-4m-cache-up-to-3-00-ghz.html,7th Generation Intel® Core™ m Processors,Products formerly Kaby Lake,Mobile,Launched,Q2'17,14 nm,2,4,3.00 GHz,4 MB Intel® Smart Cache,4 GT/s,No,View now,16 GB,"LPDDR3-1866, DDR3L-1600",2,No,Intel® HD Graphics 615,900 MHz,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,12,4.5,Yes,3,0x591E,3.0,"1x4, 2x2, 1x2+2x1 and 4x1",10,FCBGA1515,1,100°C,20mm X 16.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$281.00,
i5-11300H,https://ark.intel.com/content/www/us/en/ark/products/196656/intel-core-i511300h-processor-8m-cache-up-to-4-40-ghz-with-ipu.html,11th Generation Intel® Core™ i5 Processors,Products formerly Tiger Lake,Mobile,Launched,Q1'21,10 nm SuperFin,4,8,4.40 GHz,8 MB Intel® Smart Cache,4 GT/s,No,View now,64 GB,"DDR4-3200, LPDDR4x-4267",2,No,Intel® Iris® Xe Graphics,1.30 GHz,4096x2304@60Hz,7680x4320@60Hz,4096x2304@60Hz,12.1,4.6,Yes,4,0x9A49,,,,FCBGA1449,1,100°C,45.5mm x 25mm,2.0,Yes,,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,,Yes,No,Yes,,No,No,,Yes,No,Yes,Yes,Yes,$309.00,Yes
i9-11900F,https://ark.intel.com/content/www/us/en/ark/products/212254/intel-core-i9-11900f-processor-16m-cache-up-to-5-20-ghz.html,11th Generation Intel® Core™ i9 Processors,Products formerly Rocket Lake,Desktop,Launched,Q1'21,14 nm,8,16,5.20 GHz,16 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-3200,2,No,,,,,,,,,,,4.0,"Up to 1x16+1x4, 2x8+1x4, 1x8+3x4",20,FCLGA1200,1,100°C,37.5 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,$422.00 - $432.00,Yes
i7-8850H,https://ark.intel.com/products/134899/intel-core-i7-8850h-processor-9m-cache-up-to-4-30-ghz.html,8th Generation Intel® Core™ i7 Processors,Products formerly Coffee Lake,Mobile,Launched,Q2'18,14 nm,6,12,4.30 GHz,9 MB Intel® Smart Cache,8 GT/s,Yes,View now,64 GB,"DDR4-2666, LPDDR3-2133",2,No,Intel® UHD Graphics 630,1.15 GHz,4096 x 2304@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x3E9B,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCBGA1440,1,100°C,42mm x 28mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,Yes,Yes,Yes,Yes,$395.00,Yes
i9-10900T,https://ark.intel.com/content/www/us/en/ark/products/199324/intel-core-i9-10900t-processor-20m-cache-up-to-4-60-ghz.html,10th Generation Intel® Core™ i9 Processors,Products formerly Comet Lake,Desktop,Launched,Q2'20,14 nm,10,20,4.60 GHz,20 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2933,2,No,Intel® UHD Graphics 630,1.20 GHz,4096 x 2160@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x9BC5,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1200,1,100°C,37.5mm x 37.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$439.00,Yes
i3-10100T,https://ark.intel.com/content/www/us/en/ark/products/199284/intel-core-i3-10100t-processor-6m-cache-up-to-3-80-ghz.html,10th Generation Intel® Core™ i3 Processors,Products formerly Comet Lake,Desktop,Launched,Q2'20,14 nm,4,8,3.80 GHz,6 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2666,2,No,Intel® UHD Graphics 630,1.10 GHz,4096 x 2160@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x9BC8,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1200,1,100°C,37.5mm x 37.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$122.00,Yes
i7-1165G7,https://ark.intel.com/content/www/us/en/ark/products/208921/intel-core-i71165g7-processor-12m-cache-up-to-4-70-ghz-with-ipu.html,11th Generation Intel® Core™ i7 Processors,Products formerly Tiger Lake,Mobile,Launched,Q3'20,10 nm SuperFin,4,8,4.70 GHz,12 MB Intel® Smart Cache,4 GT/s,No,View now,64 GB,"DDR4-3200, LPDDR4x-4267",2,No,Intel® Iris® Xe Graphics,1.30 GHz,4096x2304@60Hz,7680x4320@60Hz,4096x2304@60Hz,12.1,4.6,Yes,4,0x9A49,,,,FCBGA1449,1,100°C,45.5x25,2.0,Yes,,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,,Yes,No,Yes,,No,No,,Yes,No,Yes,Yes,Yes,$426.00,Yes
i5-8250U,https://ark.intel.com/products/124967/intel-core-i5-8250u-processor-6m-cache-up-to-3-40-ghz.html,8th Generation Intel® Core™ i5 Processors,Products formerly Kaby Lake R,Mobile,Launched,Q3'17,14 nm,4,8,3.40 GHz,6 MB Intel® Smart Cache,4 GT/s,No,View now,32 GB,"DDR4-2400, LPDDR3-2133",2,No,Intel® UHD Graphics 620,1.10 GHz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.4,Yes,3,0x5917,3.0,"1x4, 2x2, 1x2+2x1 and 4x1",12,FC-BGA1356,1,100°C,42mm X 24mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$297.00,
i7-10700K,https://ark.intel.com/content/www/us/en/ark/products/199335/intel-core-i7-10700k-processor-16m-cache-up-to-5-10-ghz.html,10th Generation Intel® Core™ i7 Processors,Products formerly Comet Lake,Desktop,Launched,Q2'20,14 nm,8,16,5.10 GHz,16 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2933,2,No,Intel® UHD Graphics 630,1.20 GHz,4096 x 2160@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x9BC5,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1200,1,100°C,37.5mm x 37.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$374.00 - $384.00,Yes
i9-9900K,https://ark.intel.com/products/186605/intel-core-i9-9900k-processor-16m-cache-up-to-5-00-ghz.html,9th Generation Intel® Core™ i9 Processors,Products formerly Coffee Lake,Desktop,Launched,Q4'18,14 nm,8,16,5.00 GHz,16 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2666,2,No,Intel® UHD Graphics 630,1.20 GHz,4096 x 2304@24Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x3E98,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,100°C,37.5mm x 37.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$488.00 - $499.00,Yes
i3-10100,https://ark.intel.com/content/www/us/en/ark/products/199283/intel-core-i3-10100-processor-6m-cache-up-to-4-30-ghz.html,10th Generation Intel® Core™ i3 Processors,Products formerly Comet Lake,Desktop,Launched,Q2'20,14 nm,4,8,4.30 GHz,6 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2666,2,No,Intel® UHD Graphics 630,1.10 GHz,4096 x 2160@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x9BC8,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1200,1,100°C,37.5mm x 37.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$122.00,Yes
W-11955M,https://ark.intel.com/content/www/us/en/ark/products/213796/intel-xeon-w11955m-processor-24m-cache-2-60-ghz.html,Intel® Xeon® W Processor,Products formerly Tiger Lake,Mobile,Launched,Q2'21,10 nm SuperFin,8,16,5.00 GHz,24 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,Up to 3200 MT/s,2,Yes,Intel® UHD Graphics for 11th Gen Intel® Processors,1.45 GHz,4096x2304@60Hz,7680x4320@60Hz,4096x2304@60Hz,12.1,4.6,Yes,4,0x9A70,,"Up to 1x16+1x4, 2x8+1x4, 1x8+3x4",20,FCBGA1787,1,100°C,50 x 26.5,,Yes,,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",,,Yes,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,Yes,$623.00,Yes
i7-10610U,https://ark.intel.com/content/www/us/en/ark/products/201896/intel-core-i7-10610u-processor-8m-cache-up-to-4-90-ghz.html,10th Generation Intel® Core™ i7 Processors,Products formerly Comet Lake,Mobile,Launched,Q2'20,14 nm,4,8,4.90 GHz,8 MB Intel® Smart Cache,4 GT/s,No,View now,64 GB,"DDR4-2666, LPDDR3-2133, LPDDR4-2933",2,No,Intel® UHD Graphics for 10th Gen Intel® Processors,1.15 GHz,4096 x 2304@24Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,"0x9B41,0x9BCC",3.0,"1x4, 2x2, 1x2+2x1 and 4x1",16,FCBGA1528,1,100°C,46mm x 24mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,,Yes,Yes,Yes,Yes,Yes,$409.00,Yes
i7-8665U,https://ark.intel.com/content/www/us/en/ark/products/193563/intel-core-i7-8665u-processor-8m-cache-up-to-4-80-ghz.html,8th Generation Intel® Core™ i7 Processors,Products formerly Whiskey Lake,Mobile,Launched,Q2'19,14 nm,4,8,4.80 GHz,8 MB Intel® Smart Cache,4 GT/s,No,View now,64 GB,"DDR4-2400, LPDDR3-2133",2,No,Intel® UHD Graphics for 8th Generation Intel® Processors,1.15 GHz,4096 x 2304@24Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x3EA0,3.0,"1x4, 2x2, 1x2+2x1 and 4x1",16,FCBGA1528,1,100°C,46x24,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
G4600,https://ark.intel.com/products/97453/intel-pentium-processor-g4600-3m-cache-3-60-ghz.html,Intel® Pentium® Processor G Series,Products formerly Kaby Lake,Desktop,Discontinued,Q1'17,14 nm,2,4,,3 MB,8 GT/s,No,View now,64 GB,"DDR4-2133/2400, DDR3L-1333/1600 @ 1.35V",2,Yes,Intel® HD Graphics 630,1.10 GHz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.4,Yes,3,0x5912,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,100°C,37.5mm x 37.5mm,No,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,,Yes
i7-11850HE,https://ark.intel.com/content/www/us/en/ark/products/217379/intel-core-i711850he-processor-24m-cache-up-to-4-70-ghz.html,11th Generation Intel® Core™ i7 Processors,Products formerly Tiger Lake,Embedded,Launched,Q3'21,10 nm SuperFin,8,16,4.70 GHz,24 MB Intel® Smart Cache,,Yes,,128 GB,DDR4-3200,2,No,Intel® UHD Graphics for 11th Gen Intel® Processors,1.35 GHz,4096x2304@60Hz,7680x4320@60Hz,4096x2304@60Hz,12.1,4.6,Yes,4,0x9A60,,"Up to 1x16+1x4, 2x8+1x4, 1x8+3x4",20,FCBGA1787,1,100°C,50 x 26.5,2.0,Yes,,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",,,Yes,Yes,Yes,,No,Yes,,Yes,Yes,Yes,Yes,Yes,$400.00,Yes
i5-9400T,https://ark.intel.com/content/www/us/en/ark/products/134893/intel-core-i5-9400t-processor-9m-cache-up-to-3-40-ghz.html,9th Generation Intel® Core™ i5 Processors,Products formerly Coffee Lake,Desktop,Launched,Q2'19,14 nm,6,6,3.40 GHz,9 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2666,2,No,Intel® UHD Graphics 630,1.05 GHz,4096 x 2304@24Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x3E92,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,100°C,37.5mm x 37.5mm,2.0,No,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$182.00,Yes
