ProcessorNumber,url,ProductCollection,CodeName,VerticalSegment,Status,LaunchDate,Lithography,TotalCores,TotalThreads,MaxTurboFrequency,Cache,BusSpeed,EmbeddedOptionsAvailable,Datasheet,MaxMemorySizedependentonmemorytype,MemoryTypes,MaxofMemoryChannels,ECCMemorySupported,ProcessorGraphics,GraphicsMaxDynamicFrequency,MaxResolutionHDMI,MaxResolutionDP,MaxResolutioneDPIntegratedFlatPanel,DirectXSupport,OpenGLSupport,IntelQuickSyncVideo,ofDisplaysSupported,DeviceID,PCIExpressRevision,PCIExpressConfigurations,MaxofPCIExpressLanes,SocketsSupported,MaxCPUConfiguration,TJUNCTION,PackageSize,IntelTurboBoostTechnology,IntelHyperThreadingTechnology,Intel64,InstructionSet,InstructionSetExtensions,IdleStates,EnhancedIntelSpeedStepTechnology,ThermalMonitoringTechnologies,IntelvProPlatformEligibility,IntelAESNewInstructions,SecureKey,IntelSoftwareGuardExtensionsIntelSGX,IntelTrustedExecutionTechnology,ExecuteDisableBit,IntelOSGuard,IntelStableITPlatformProgramSIPP,IntelVirtualizationTechnologyVTx,IntelVirtualizationTechnologyforDirectedIOVTd,IntelVTxwithExtendedPageTablesEPT,RecommendedCustomerPrice,IntelBootGuard
i5-11600T,https://ark.intel.com/content/www/us/en/ark/products/212278/intel-core-i5-11600t-processor-12m-cache-up-to-4-10-ghz.html,11th Generation Intel® Core™ i5 Processors,Products formerly Rocket Lake,Desktop,Launched,Q1'21,14 nm,6,12,4.10 GHz,12 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-3200,2,No,Intel® UHD Graphics 750,1.30 GHz,4096x2160@60Hz,5120 x 3200 @60Hz,5120 x 3200 @60Hz,12.1,4.5,Yes,3,0x4C8A,4.0,"Up to 1x16+1x4, 2x8+1x4, 1x8+3x4",20,FCLGA1200,1,100°C,37.5 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$213.00,Yes
6305,https://ark.intel.com/content/www/us/en/ark/products/208646/intel-celeron-6305-processor-4m-cache-1-80-ghz-with-ipu.html,Intel® Celeron® Processor 6000 Series,Products formerly Tiger Lake,Mobile,Launched,Q4'20,10 nm SuperFin,2,2,,4 MB Intel® Smart Cache,4 GT/s,No,View now,64 GB,"DDR4-3200, LPDDR4x-3733",2,No,Intel® UHD Graphics for 11th Gen Intel® Processors,1.25 GHz,4096x2304@60Hz,7680x4320@60Hz,4096x2304@60Hz,12.1,4.6,Yes,4,0x9A78,,,,FCBGA1449,1,100°C,45.5x25,No,No,,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,,Yes,No,Yes,,No,No,,Yes,No,Yes,Yes,Yes,$107.00,Yes
i7-9700T,https://ark.intel.com/content/www/us/en/ark/products/191048/intel-core-i7-9700t-processor-12m-cache-up-to-4-30-ghz.html,9th Generation Intel® Core™ i7 Processors,Products formerly Coffee Lake,Desktop,Launched,Q2'19,14 nm,8,8,4.30 GHz,12 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2666,2,No,Intel® UHD Graphics 630,1.20 GHz,4096 x 2304@24Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x3E98,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,100°C,37.5mm x 37.5mm,2.0,No,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,Yes with Intel® ME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$323.00,Yes
i9-11900,https://ark.intel.com/content/www/us/en/ark/products/212252/intel-core-i9-11900-processor-16m-cache-up-to-5-20-ghz.html,11th Generation Intel® Core™ i9 Processors,Products formerly Rocket Lake,Desktop,Launched,Q1'21,14 nm,8,16,5.20 GHz,16 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-3200,2,No,Intel® UHD Graphics 750,1.30 GHz,4096x2160@60Hz,5120 x 3200 @60Hz,5120 x 3200 @60Hz,12.1,4.5,Yes,3,0x4C8A,4.0,"Up to 1x16+1x4, 2x8+1x4, 1x8+3x4",20,FCLGA1200,1,100°C,37.5 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$439.00 - $449.00,Yes
i5-10400T,https://ark.intel.com/content/www/us/en/ark/products/199276/intel-core-i5-10400t-processor-12m-cache-up-to-3-60-ghz.html,10th Generation Intel® Core™ i5 Processors,Products formerly Comet Lake,Desktop,Launched,Q2'20,14 nm,6,12,3.60 GHz,12 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2666,2,No,Intel® UHD Graphics 630,1.10 GHz,4096 x 2160@30Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,12,4.5,Yes,3,0x9BC8,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1200,1,100°C,37.5mm x 37.5mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,$182.00,Yes
i5-8400,https://ark.intel.com/products/126687/intel-core-i5-8400-processor-9m-cache-up-to-4-00-ghz.html,8th Generation Intel® Core™ i5 Processors,Products formerly Coffee Lake,Desktop,Discontinued,Q4'17,14 nm,6,6,4.00 GHz,9 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-2666,2,No,Intel® UHD Graphics 630,1.05 GHz,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,4.5,Yes,3,0x3E92,3.0,"Up to 1x16, 2x8, 1x8+2x4",16,FCLGA1151,1,100°C,37.5mm x 37.5mm,2.0,No,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,No,Yes,Yes,Yes with Intel® ME,No,Yes,Yes,No,Yes,Yes,Yes,,Yes
i3-1110G4,https://ark.intel.com/content/www/us/en/ark/products/208651/intel-core-i31110g4-processor-6m-cache-up-to-3-90-ghz-with-ipu.html,11th Generation Intel® Core™ i3 Processors,Products formerly Tiger Lake,Mobile,Launched,Q3'20,10 nm SuperFin,2,4,3.90 GHz,6 MB Intel® Smart Cache,2 GT/s,No,View now,32 GB,LPDDR4x-4267,2,No,Intel® UHD Graphics for 11th Gen Intel® Processors,1.10 GHz,4096x2304@60Hz,7680x4320@60Hz,4096x2304@60Hz,12.1,4.6,Yes,4,0x9A78,,,,FCBGA1598,1,100°C,26.5x18.5,2.0,Yes,,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,,Yes,No,Yes,,No,No,,Yes,No,Yes,Yes,Yes,$281.00,Yes
i5-11400F,https://ark.intel.com/content/www/us/en/ark/products/212271/intel-core-i5-11400f-processor-12m-cache-up-to-4-40-ghz.html,11th Generation Intel® Core™ i5 Processors,Products formerly Rocket Lake,Desktop,Launched,Q1'21,14 nm,6,12,4.40 GHz,12 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-3200,2,No,,,,,,,,,,,4.0,"Up to 1x16+1x4, 2x8+1x4, 1x8+3x4",20,FCLGA1200,1,100°C,37.5 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,$157.00,Yes
i5-12500,https://ark.intel.com/content/www/us/en/ark/products/96144/intel-core-i512500-processor-18m-cache-up-to-4-60-ghz.html,12th Generation Intel® Core™ i5 Processors,Products formerly Alder Lake,Desktop,Launched,Q1'22,Intel 7,6,12,4.60 GHz,18 MB Intel® Smart Cache,,Yes,View now,128 GB,Up to DDR5 4800 MT/s,2,Yes,Intel® UHD Graphics 770,1.45 GHz,4096 x 2160 @ 60Hz,7680 x 4320 @ 60Hz,5120 x 3200 @ 120Hz,12,4.5,Yes,4,0x4690,5.0 and 4.0,"Up to 1x16+4, 2x8+4",20,FCLGA1700,1,100°C,45.0 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$202.00 - $212.00,Yes
i9-11900T,https://ark.intel.com/content/www/us/en/ark/products/212256/intel-core-i9-11900t-processor-16m-cache-up-to-4-90-ghz.html,11th Generation Intel® Core™ i9 Processors,Products formerly Rocket Lake,Desktop,Launched,Q1'21,14 nm,8,16,4.90 GHz,16 MB Intel® Smart Cache,8 GT/s,No,View now,128 GB,DDR4-3200,2,No,Intel® UHD Graphics 750,1.30 GHz,4096x2160@60Hz,5120 x 3200 @60Hz,5120 x 3200 @60Hz,12.1,4.5,Yes,3,0x4C8A,4.0,"Up to 1x16+1x4, 2x8+1x4, 1x8+3x4",20,FCLGA1200,1,100°C,37.5 mm x 37.5 mm,2.0,Yes,Yes,64-bit,"Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$439.00,Yes
